Product_Code,Sold_Quantity,Division,Date,Pharmacy_ID
P007,79,Div4,2023-01-01,Z02
P006,180,Div3,2023-01-01,Z04
P006,146,Div3,2023-01-01,Z05
P003,188,Div4,2023-01-01,Z04
P005,189,Div4,2023-01-01,Z01
P005,151,Div2,2023-01-01,Z03
P005,183,Div1,2023-01-01,Z04
P008,121,Div2,2023-01-01,Z03
P001,176,Div4,2023-01-01,Z01
P004,83,Div3,2023-01-01,Z03
P005,117,Div1,2023-01-01,Z02
P009,126,Div2,2023-01-01,Z04
P007,191,Div3,2023-01-01,Z01
P007,148,Div4,2023-01-02,Z03
P009,197,Div3,2023-01-02,Z02
P010,139,Div3,2023-01-02,Z04
P002,127,Div2,2023-01-02,Z05
P010,148,Div1,2023-01-02,Z02
P009,95,Div1,2023-01-02,Z01
P003,156,Div4,2023-01-02,Z01
P009,174,Div1,2023-01-02,Z05
P004,86,Div3,2023-01-02,Z03
P005,113,Div1,2023-01-02,Z02
P008,179,Div1,2023-01-02,Z01
P005,194,Div1,2023-01-02,Z01
P007,96,Div2,2023-01-02,Z02
P007,184,Div2,2023-01-02,Z01
P004,117,Div3,2023-01-02,Z02
P001,121,Div2,2023-01-02,Z02
P006,108,Div1,2023-01-03,Z02
P002,136,Div4,2023-01-03,Z05
P009,126,Div3,2023-01-03,Z04
P003,162,Div4,2023-01-03,Z05
P008,147,Div3,2023-01-03,Z02
P003,168,Div2,2023-01-03,Z01
P007,187,Div3,2023-01-03,Z05
P008,180,Div2,2023-01-03,Z01
P010,146,Div2,2023-01-03,Z02
P001,120,Div2,2023-01-03,Z03
P005,104,Div3,2023-01-03,Z02
P005,173,Div2,2023-01-03,Z01
P007,96,Div2,2023-01-03,Z02
P007,201,Div3,2023-01-03,Z01
P001,108,Div1,2023-01-03,Z04
P001,105,Div3,2023-01-04,Z03
P005,139,Div4,2023-01-04,Z05
P001,198,Div1,2023-01-04,Z01
P008,102,Div4,2023-01-04,Z04
P002,142,Div1,2023-01-04,Z04
P009,80,Div1,2023-01-04,Z01
P002,127,Div1,2023-01-04,Z05
P006,160,Div1,2023-01-04,Z03
P005,95,Div3,2023-01-04,Z02
P010,137,Div1,2023-01-04,Z02
P004,127,Div1,2023-01-04,Z01
P008,152,Div4,2023-01-04,Z02
P006,186,Div2,2023-01-04,Z04
P005,167,Div3,2023-01-04,Z04
P005,190,Div2,2023-01-04,Z01
P004,134,Div2,2023-01-04,Z02
P007,91,Div1,2023-01-05,Z02
P008,79,Div3,2023-01-05,Z05
P006,166,Div2,2023-01-05,Z04
P002,149,Div4,2023-01-05,Z02
P009,72,Div4,2023-01-05,Z01
P009,192,Div4,2023-01-05,Z05
P002,142,Div3,2023-01-05,Z05
P009,120,Div1,2023-01-05,Z03
P008,142,Div3,2023-01-05,Z03
P002,147,Div1,2023-01-05,Z03
P010,94,Div2,2023-01-05,Z01
P004,80,Div4,2023-01-05,Z03
P008,145,Div4,2023-01-05,Z02
P007,176,Div3,2023-01-05,Z05
P005,189,Div1,2023-01-06,Z01
P008,180,Div2,2023-01-06,Z01
P005,164,Div2,2023-01-06,Z03
P004,90,Div4,2023-01-06,Z03
P010,157,Div4,2023-01-06,Z04
P001,118,Div4,2023-01-06,Z03
P009,181,Div4,2023-01-06,Z05
P001,185,Div1,2023-01-06,Z01
P002,141,Div2,2023-01-06,Z05
P003,159,Div1,2023-01-06,Z04
P007,193,Div4,2023-01-06,Z01
P009,131,Div3,2023-01-06,Z03
P003,173,Div3,2023-01-06,Z03
P008,109,Div1,2023-01-06,Z04
P006,142,Div2,2023-01-06,Z05
P003,162,Div3,2023-01-06,Z05
P010,66,Div3,2023-01-07,Z01
P006,152,Div4,2023-01-07,Z05
P009,133,Div3,2023-01-07,Z04
P001,134,Div3,2023-01-07,Z03
P010,88,Div2,2023-01-07,Z03
P003,172,Div4,2023-01-07,Z05
P003,181,Div3,2023-01-07,Z04
P004,131,Div3,2023-01-07,Z02
P004,84,Div3,2023-01-07,Z03
